"","x"
"1",5.11689778994034
"2",NA
"3",2.73614720601978
"4",0.838124423018434
"5",-0.345952505300397
"6",2.68951036812963
"7",NA
"8",1.73733921086666
"9",1.9081716885758
"10",-2.7201526107451
"11",-2.72015525724313
"12",NA
"13",2.79418048732542
"14",0.816684429186249
"15",NA
"16",3.89288743869209
"17",NA
"18",-2.72015345603256
"19",-2.14308588878078
"20",0.999345909805148
"21",1.53067812494648
"22",NA
"23",NA
"24",NA
"25",2.32158506180394
"26",4.62592353681307
"27",-0.475694595694241
"28",4.3833606468325
"29",3.55561812270868
"30",NA
"31",NA
"32",-2.72015934231738
"33",1.6963937909315
"34",-0.450138700765164
"35",NA
"36",-2.1430888678458
"37",3.70158646328633
"38",-2.14308588878078
"39",1.57891594284103
"40",1.16820538144275
"41",NA
"42",0.714077213004903
"43",-0.36528786375622
"44",1.67764841516574
"45",2.00286321039452
"46",0.552309024592851
"47",-1.14616268675931
"48",-2.72015525724313
"49",0.943036145694227
"50",4.7723393496591
"51",NA
"52",-0.944489027936583
"53",-0.198857844658714
"54",-1.12831977153539
"55",NA
"56",NA
"57",3.25706911797141
"58",NA
"59",-0.593661925182447
"60",-2.14308588878078
"61",3.19836705120054
"62",2.11678445126202
"63",1.35160862396487
"64",NA
"65",-2.14308588878078
"66",-2.72015469780164
"67",2.22812558220649
"68",-0.0637809602910105
"69",-2.14308588878078
"70",1.35224066657254
"71",-2.72015525724313
"72",NA
"73",NA
"74",3.92940791469171
"75",5.07073629224687
"76",-1.2804349868739
"77",NA
"78",-1.54401968800406
"79",3.45216436786334
"80",1.71234283630251
"81",-2.72015525724313
"82",2.26217267632597
"83",2.10523934055583
"84",1.59858196537011
"85",3.51759520884516
"86",3.76163569898132
"87",3.81842846929615
"88",NA
"89",-2.14308588878078
"90",2.46002794986118
"91",-2.14308588878078
"92",2.21590819685079
"93",3.3878790685057
"94",NA
"95",1.25403806705302
"96",NA
"97",1.50503814159585
"98",2.07833981166385
"99",NA
"100",2.08651091375425
"101",-2.72015525724313
"102",3.28179412500676
"103",2.4266133380278
"104",NA
"105",2.08400588005733
"106",0.243241967643143
"107",2.11825923500982
"108",2.14588795418738
"109",-1.12091673487975
"110",-0.693773646915706
"111",3.29653580492681
"112",1.13346970052733
"113",-0.310997740711436
"114",-2.72015525724313
"115",2.09202605738551
"116",-1.41073706788383
"117",-0.911983008753409
"118",NA
"119",-2.14308679356441
"120",2.51215650616223
"121",0.121128540403518
"122",1.28092528369065
"123",3.91824024343139
"124",-0.0976217201238904
"125",1.54186324547181
"126",-2.7201614405342
"127",-2.14308855791481
"128",3.28752050497493
"129",-2.14308588878078
"130",NA
"131",7.41204010363033
"132",1.22700060222782
"133",2.00380309489309
"134",NA
"135",1.53210214189215
"136",0.257031578680717
"137",2.63139303091094
"138",1.36208976355559
"139",1.71687848486223
"140",0.639893255411331
"141",1.08987648831084
"142",-2.14308588878078
"143",3.37755407329292
"144",1.10970464982664
"145",NA
"146",-1.53853212059222
"147",NA
"148",-0.83442725355912
"149",NA
"150",2.48152200559273
"151",0.737403803112351
"152",1.63585312546608
"153",1.57804991127595
"154",0.5474011508647
"155",0.415751576734867
"156",-2.72015525724313
"157",NA
"158",-2.72015525724313
"159",NA
"160",5.217607483049
"161",-2.14308588878078
"162",-2.72015202661138
"163",2.01817095191901
"164",3.18744338399214
"165",NA
"166",2.8181890194186
"167",4.1263639754696
"168",3.57942492127974
"169",4.56532683067186
"170",2.28864022788646
"171",-0.206428334650649
"172",1.17874136798242
"173",-0.624608985088467
"174",3.78261372851697
"175",1.89024561012171
"176",0.821758114137068
"177",NA
"178",NA
"179",3.1842885153725
"180",0.684128744356489
"181",-2.14308279756151
"182",-2.72015323569943
"183",-2.14308588878078
"184",1.60077487592737
"185",NA
"186",2.7201381970126
"187",5.07284639824892
"188",0.531414221183488
"189",1.47053070811655
"190",0.410260453846612
"191",NA
"192",2.23340833700078
"193",NA
"194",3.28122319606959
"195",0.851232281550407
"196",0.517514451066547
"197",NA
"198",2.30310743455694
"199",0.487819699299186
"200",0.073462982581058
"201",-2.72016585511302
"202",NA
"203",NA
"204",NA
"205",-0.0545483398241203
"206",-2.72015525724313
"207",NA
"208",6.18817651831425
"209",NA
"210",NA
"211",1.38047565706182
"212",0.0672161903203513
"213",-2.14308426121392
"214",-0.682109617890597
"215",2.60816167356795
"216",NA
