RefSeq,0
NM_000014.4,-283.1730073847256
NM_000015.2,
NM_000016.2,-66.53751123230283
NM_000017.1,-14.873500918484996
NM_000018.2,-5.20179868149688
NM_000019.2,-59.12124334144563
NM_000020.2,
NM_000021.2,-45.75207520174451
NM_000022.2,-27.584729417821332
NM_000023.1,-4.497339752264764
NM_000024.4,-2.66242897523001
NM_000025.1,
NM_000026.1,-50.41762422076159
NM_000027.2,-19.396799207830924
NM_000028.2,
NM_000029.2,-10915.9115889896
NM_000030.1,
NM_000031.4,-4.192370273947752
NM_000032.2,-2.8426351693171674
NM_000033.2,-16.643583739245155
NM_000034.2,-26.34658082759298
NM_000035.2,
NM_000036.1,
NM_000037.3,
NM_000038.3,-14393.058312678986
NM_000039.1,-13504.158531883959
NM_000040.1,-7.126898511058389
NM_000041.2,-11819.747969568713
NM_000042.2,-79.31833317313799
NM_000043.3,
NM_000044.2,
NM_000045.2,-3.6673475372031925
NM_000046.2,-29.90520590283215
NM_000047.1,-6.64749187970786
NM_000048.3,
NM_000049.2,-16.729559993315966
NM_000050.4,-94.95546710748378
NM_000051.3,-2.43597329406828
NM_000052.3,-29.260672817211784
NM_000053.2,-18.076992981529216
NM_000054.2,
NM_000055.2,-17.139492065372878
NM_000056.2,-7.330421632980529
NM_000057.2,-26.390791027406895
NM_000059.3,-31.208287877724747
NM_000060.2,-16.544749962662298
NM_000061.1,-5.785130337799182
NM_000062.2,-2.758868612133691
NM_000063.3,-14.642999671554197
NM_000064.2,-15251.278200729968
NM_000065.1,
NM_000066.2,-4.597466830580553
NM_000067.1,-43.983611707080186
NM_000068.3,-6413.884675336638
NM_000069.2,
NM_000070.2,
NM_000071.1,-113.08387667749277
NM_000072.2,
NM_000073.1,-7.1513989737617765
NM_000074.2,-2.4345258086452275
NM_000075.2,-62.909760469771165
NM_000076.1,-42.64040112679593
NM_000077.3,-19.928359231945535
NM_000078.1,
NM_000079.2,-2.4345258086452275
NM_000080.2,-4.699511413202721
NM_000081.2,-74.19771683033532
NM_000082.2,-10.07213363773461
NM_000083.2,-2.104571906035837
NM_000084.2,-27.391080507039927
NM_000085.1,-2.4910328442043435
NM_000086.2,
NM_000087.2,
NM_000088.3,-5511.208703385956
NM_000089.3,-26401.61935800129
NM_000090.3,-2.4188794473188677
NM_000091.3,
NM_000092.4,-5.061386527621853
NM_000093.3,-76.49347143513464
NM_000094.2,-38.31361217216638
NM_000095.2,-2.66242897523001
NM_000096.2,-43.78470510881621
NM_000097.4,-51.0177292773746
NM_000098.1,-30.36082658498905
NM_000099.2,-25567.898534981417
NM_000100.2,-110.00353956405849
NM_000101.2,-81.25538155722745
NM_000102.3,
NM_000103.2,-2.43597329406828
NM_000104.2,-47.20972328133735
NM_000106.4,-2.4345258086452275
NM_000107.1,-37.957260681781584
NM_000108.3,-109.45358924847248
NM_000109.2,
NM_000110.3,-19.413158709858628
NM_000111.1,
NM_000112.3,-27.887389333624512
NM_000113.2,-44.73972974498494
NM_000114.2,
NM_000115.1,-64.54825817979946
NM_000116.2,-2.758868612133691
NM_000117.1,-111.1385493225171
NM_000118.1,-51.2484010143057
NM_000119.1,
NM_000120.2,-59.26833321486847
NM_000121.2,-9.362530831772103
NM_000122.1,-43.55411967677499
NM_000123.2,-44.94598038218306
NM_000124.1,-10.184992727416983
NM_000125.2,-6.978384575813565
NM_000126.2,-75.62997977090104
NM_000127.2,-22.583690752591707
NM_000128.3,-6.707800651261619
NM_000129.3,-2.758868612133691
NM_000130.4,-37.31064644375248
NM_000131.3,-2.908447919247226
NM_000132.2,-12.797794015343861
NM_000133.2,
NM_000134.2,-3.3355693087063263
NM_000135.2,-39.8998686098388
NM_000136.2,-10.34694283659634
NM_000137.1,-20.77590208702308
NM_000138.3,-110.9610833788065
NM_000139.2,-5.151416729257537
NM_000140.2,-23.969233527811213
NM_000141.3,-6.777555388358993
NM_000142.2,-7.119426843682329
NM_000143.2,-85.14530113137934
NM_000144.3,-2.9005239872238744
NM_000145.2,
NM_000146.3,-598176.6360522145
NM_000147.3,-22.839947534904525
NM_000148.2,-25.683393699038028
NM_000149.3,
NM_000150.2,-25.241152306313484
NM_000151.2,-12.102739322034708
NM_000152.3,-77.12916963786341
NM_000153.2,-38.66101048920965
NM_000154.1,-25.970336494187656
NM_000155.2,-27.125679385751813
NM_000156.4,-23.635007968387143
NM_000157.2,-2.8426351693171674
NM_000158.2,-79.21311827673588
NM_000159.2,-22.307473845170044
NM_000160.2,
NM_000161.2,-4.323793804488464
NM_000162.2,
NM_000163.2,-6.369823747451894
NM_000164.2,
NM_000165.3,-7920.337623120444
NM_000166.4,-16.10273434285864
NM_000167.3,-41.907587215941476
NM_000168.3,-17.551625332431716
NM_000169.2,-13.065846473261178
NM_000170.2,-17.202224092897634
NM_000171.2,-2.4910328442043435
NM_000172.2,
NM_000173.4,-2.66242897523001
NM_000174.2,
NM_000175.2,-45028.70735693914
NM_000176.2,-2.8426351693171674
NM_000177.4,-4.3935360006521265
NM_000178.2,-35.2733789451957
NM_000179.1,-70.1649457253508
NM_000180.2,
NM_000181.2,-54.43180568170875
NM_000182.4,-158.53582470942226
NM_000183.2,-129.2141371889978
NM_000184.2,-152.2714129090014
NM_000185.3,-35.42953943286361
NM_000186.2,-10.43412153992255
NM_000187.2,-17.527641346707156
NM_000188.1,-7.566200810888383
NM_000189.4,-92.96696727072451
NM_000190.3,-33.123791275568315
NM_000191.2,-22.068279975969
NM_000192.3,
NM_000193.2,
NM_000194.1,-93.60443719006727
NM_000195.2,-28.323405341958154
