RefSeq,JOA1,JOA2,JOA3,JOA4,JOA5,JOB1,JOB2,JOB3,JOB4,JOB5
NM_000128.3,1,0,0,3,1,0,0,0,0,0
NM_000129.3,0,0,0,0,0,0,0,0,0,1
NM_000130.4,3,7,3,8,5,2,4,1,0,1
NM_000131.3,0,0,0,0,2,1,0,0,0,0
NM_000132.2,1,2,0,0,0,0,2,2,2,2
NM_000133.2,0,0,0,0,0,0,0,0,0,0
NM_000134.2,0,0,1,0,0,1,0,0,0,0
NM_000135.2,5,6,10,15,2,0,1,0,0,0
NM_000136.2,1,2,2,2,0,0,0,0,1,0
NM_000137.1,0,4,3,5,4,0,1,0,1,1
NM_000138.3,9,10,28,37,18,0,2,5,4,0
NM_000139.2,2,2,0,0,0,0,0,0,0,0
NM_000140.2,2,5,2,6,3,0,0,3,0,1
NM_000141.3,0,0,0,0,0,0,1,3,0,1
NM_000142.2,0,0,0,1,0,0,0,2,1,1
NM_000143.2,6,6,30,15,10,0,5,7,3,6
NM_000144.3,0,0,1,0,0,0,0,0,0,0
NM_000145.2,0,0,0,0,0,0,0,0,0,0
NM_000146.3,96,131,346,383,204,6,33,100,86,95
NM_000147.3,0,1,9,3,4,0,2,0,3,2
NM_000148.2,7,10,1,1,0,0,4,4,1,1
NM_000149.3,0,0,0,0,0,0,0,0,0,0
NM_000150.2,5,3,1,5,2,0,4,0,2,1
NM_000151.2,2,2,2,1,0,0,2,0,0,1
NM_000152.3,6,3,12,11,8,1,3,14,6,13
NM_000153.2,5,1,2,1,5,1,2,9,6,5
NM_000154.1,0,3,11,6,4,0,0,0,2,1
NM_000155.2,0,1,4,4,2,0,7,1,4,4
NM_000156.4,0,2,2,5,5,0,1,5,4,0
NM_000157.2,0,0,0,1,0,0,0,0,0,0
NM_000158.2,6,13,17,18,13,0,1,3,2,3
NM_000159.2,1,2,6,1,4,0,1,1,3,2
NM_000160.2,0,0,0,0,0,0,0,0,0,0
NM_000161.2,0,0,0,1,1,0,0,0,0,0
NM_000162.2,0,0,0,0,0,0,0,0,0,0
NM_000163.2,0,1,1,2,0,0,0,0,0,0
NM_000164.2,0,0,0,0,0,0,0,0,0,0
NM_000165.3,0,8,11,9,9,9,14,44,25,22
NM_000166.4,1,2,2,1,4,0,0,1,2,1
NM_000167.3,2,5,3,5,4,10,3,1,2,2
NM_000168.3,5,7,0,1,1,0,3,0,2,0
NM_000169.2,1,1,3,4,1,0,0,0,0,1
NM_000170.2,1,2,3,3,0,3,0,1,2,0
NM_000171.2,0,0,0,0,0,0,1,0,0,0
NM_000172.2,0,0,0,0,0,0,0,0,0,0
NM_000173.4,0,0,0,0,0,0,0,0,1,0
NM_000174.2,0,0,0,0,0,0,0,0,0,0
NM_000175.2,19,37,88,76,34,6,18,46,28,45
NM_000176.2,0,0,0,1,0,0,0,0,0,0
NM_000177.4,0,0,0,0,0,0,0,0,1,1
NM_000178.2,3,5,10,7,2,0,0,3,2,2
NM_000179.1,1,5,32,19,11,0,2,5,2,4
NM_000180.2,0,0,0,0,0,0,0,0,0,0
NM_000181.2,2,2,22,18,8,0,1,2,3,3
NM_000182.4,11,11,33,40,22,1,2,23,12,10
NM_000183.2,6,15,24,18,15,9,4,18,10,5
NM_000184.2,9,15,62,63,23,0,0,0,0,0
NM_000185.3,0,6,15,8,6,0,0,1,1,0
NM_000186.2,0,1,1,3,1,0,0,1,0,2
NM_000187.2,0,3,7,3,3,0,0,0,0,0
NM_000188.1,1,0,1,1,1,0,0,1,0,0
NM_000189.4,7,9,27,37,15,0,1,1,0,0
NM_000190.3,1,3,8,7,6,0,0,3,2,2
NM_000191.2,1,0,4,4,3,0,4,1,3,1
NM_000192.3,0,0,0,0,0,0,0,0,0,0
NM_000193.2,0,0,0,0,0,0,0,0,0,0
NM_000194.1,9,5,28,10,8,1,1,15,9,13
NM_000195.2,0,2,6,1,2,1,5,4,2,4
NM_000196.3,0,1,0,0,0,0,0,0,2,0
NM_000197.1,0,0,0,0,0,0,0,2,0,0
NM_000198.2,0,0,1,0,0,0,0,0,0,0
NM_000199.2,3,2,3,4,6,0,0,0,2,0
NM_000200.1,0,0,0,0,0,0,0,0,0,0
NM_000201.1,6,10,11,9,5,0,0,0,1,0
NM_000202.3,42,62,37,28,16,26,97,201,128,154
NM_000203.3,0,3,4,2,1,0,0,0,0,1
NM_000204.2,1,3,6,3,5,0,0,0,0,0
NM_000206.1,1,0,3,3,2,0,0,0,0,0
NM_000207.2,0,0,0,0,0,0,0,0,0,0
NM_000208.2,8,6,4,7,2,0,8,7,6,5
NM_000209.2,0,0,0,0,0,0,0,0,0,0
NM_000210.2,5,9,22,14,14,2,6,5,4,4
NM_000211.2,0,5,5,1,1,0,0,2,1,2
NM_000212.2,2,3,3,0,0,0,0,0,0,0
NM_000213.3,0,0,0,0,0,0,0,0,0,0
NM_000214.1,7,4,8,7,4,1,1,5,2,0
NM_000215.2,0,7,1,0,0,1,0,1,0,1
NM_000216.2,0,2,2,2,1,0,1,9,4,7
NM_000217.2,0,0,0,0,0,3,5,19,12,15
NM_000218.2,0,0,0,0,0,0,0,0,0,0
NM_000219.2,0,0,0,0,0,0,0,0,0,0
NM_000220.2,0,0,0,0,0,0,0,0,0,0
NM_000221.2,1,0,1,2,2,0,2,6,0,0
NM_000222.2,0,0,0,0,0,0,0,1,0,0
NM_000223.2,0,0,0,0,0,0,0,0,0,0
NM_000224.2,47,52,118,157,103,0,1,1,0,2
NM_000226.2,0,0,0,0,0,0,0,0,0,0
NM_000227.2,0,0,0,0,0,0,0,0,0,0
NM_000228.2,0,5,4,4,4,0,0,1,1,2
NM_000229.1,1,1,0,5,0,0,0,5,5,3
NM_000230.1,1,0,0,0,0,0,0,1,0,0
NM_000231.1,1,0,0,0,2,0,0,0,0,0
NM_000232.3,8,9,3,7,7,9,3,17,10,11
NM_000233.2,0,0,0,0,0,0,0,0,0,0
NM_000234.1,1,3,20,11,7,0,0,2,1,1
NM_000235.2,3,2,5,4,3,0,5,12,10,8
NM_000236.1,0,1,6,2,1,0,0,0,1,0
NM_000237.2,0,0,0,1,0,0,7,5,7,6
NM_000238.2,0,0,2,2,1,0,0,4,2,0
NM_000239.1,29,45,60,51,29,9,10,6,0,3
NM_000240.2,0,1,0,5,1,0,2,7,5,5
NM_000242.1,0,0,1,0,0,0,0,0,0,0
NM_000243.1,17,26,13,4,6,5,19,6,2,6
NM_000244.2,0,0,0,0,0,0,0,0,0,0
NM_000245.2,12,12,10,21,10,1,3,3,1,1
NM_000246.2,0,6,0,0,0,0,1,1,1,0
NM_000247.1,2,1,6,3,1,0,0,0,0,0
NM_000248.2,0,1,0,1,0,0,0,0,0,0
NM_000249.2,6,4,8,15,8,0,5,7,2,6
NM_000250.1,0,0,0,0,0,0,0,1,1,0
NM_000251.1,6,11,18,14,12,1,3,2,3,8
NM_000252.1,3,1,2,4,3,0,0,4,4,2
NM_000253.2,0,1,8,1,1,0,0,0,0,0
NM_000254.1,6,13,10,14,6,0,8,2,5,2
NM_000255.1,1,5,5,5,3,0,2,5,3,9
NM_000256.3,0,0,0,0,0,0,0,0,0,0
NM_000257.2,0,0,0,0,0,0,0,1,0,2
NM_000258.2,0,0,0,0,0,0,0,1,0,0
NM_000259.2,12,7,19,25,10,12,52,71,39,46
NM_000260.2,0,0,0,1,1,0,0,0,1,0
NM_000261.1,0,0,0,0,0,0,0,0,0,0
NM_000262.1,4,4,6,8,3,0,1,0,0,0
NM_000263.3,0,10,4,10,1,0,0,2,1,1
NM_000264.3,0,0,0,0,0,0,0,0,0,0
NM_000265.4,0,0,0,1,0,0,0,0,2,0
NM_000266.1,0,3,0,0,1,0,2,3,3,6
NM_000267.2,0,1,0,0,0,2,1,0,1,0
NM_000268.2,1,0,0,0,0,0,0,0,0,0
NM_000269.2,5,6,19,29,6,0,2,9,2,3
NM_000270.1,1,2,11,10,9,0,0,4,2,0
NM_000271.3,4,6,9,13,4,0,5,11,3,7
NM_000272.2,4,14,4,2,3,0,2,1,1,1
NM_000273.1,0,0,0,1,2,0,0,0,0,0
NM_000274.1,5,10,12,19,7,6,5,27,15,28
NM_000275.1,0,0,1,1,3,2,0,0,1,1
NM_000276.3,2,7,7,5,1,1,4,8,7,8
NM_000277.1,1,1,2,7,6,0,0,1,0,1
NM_000278.3,0,0,0,0,0,0,0,0,0,0
NM_000280.2,0,0,2,2,2,1,6,20,8,11
NM_000281.2,2,1,8,4,5,0,1,2,4,2
NM_000282.2,1,5,9,4,2,0,7,3,2,5
NM_000283.2,6,6,2,7,3,1,3,2,1,3
NM_000284.1,2,2,13,16,10,1,3,4,2,6
NM_000285.2,1,3,6,12,4,0,0,9,4,2
NM_000286.1,0,2,2,0,1,0,0,0,1,2
NM_000287.2,2,2,16,5,7,1,2,7,3,6
NM_000288.1,0,0,3,0,0,0,0,1,3,0
NM_000289.3,4,8,13,20,7,4,7,34,17,21
NM_000290.2,0,3,0,1,0,0,0,1,2,0
NM_000291.2,45,78,289,238,138,1,19,46,31,31
NM_000292.1,0,3,7,9,4,0,2,1,0,3
NM_000293.1,0,0,2,3,3,0,1,1,0,1
NM_000294.1,6,0,4,5,3,0,0,2,2,1
NM_000295.3,15,33,102,83,49,0,1,2,3,3
NM_000296.2,0,1,4,3,0,0,2,7,4,2
NM_000297.2,2,4,8,0,4,1,1,6,3,1
NM_000298.4,0,0,0,0,0,0,0,0,0,0
NM_000299.2,0,0,0,0,0,0,0,0,0,0
NM_000300.2,0,0,1,0,0,0,0,0,0,0
NM_000301.1,0,0,0,0,0,0,0,0,0,0
NM_000302.2,16,16,66,59,23,2,0,4,5,3
NM_000303.1,0,1,6,11,8,0,1,0,0,0
NM_000304.2,0,0,0,0,0,0,0,0,0,0
NM_000305.2,0,7,8,9,8,1,2,15,14,18
NM_000306.1,0,0,0,0,0,0,0,0,0,0
NM_000307.2,0,0,0,0,0,0,0,0,0,0
NM_000308.2,2,5,22,18,10,1,3,12,11,5
NM_000309.2,2,1,2,6,4,0,0,1,2,3
NM_000310.2,16,4,37,19,15,0,6,24,7,13
NM_000311.3,0,0,0,0,1,0,0,2,2,2
NM_000312.2,2,3,4,4,3,0,0,0,0,0
NM_000313.1,0,5,12,9,7,0,1,0,1,0
NM_000314.4,6,7,20,9,11,3,8,23,13,16
NM_000315.2,0,0,0,0,0,0,0,0,0,0
NM_000316.2,0,0,3,0,1,0,0,2,1,1
NM_000317.1,0,2,0,5,5,0,0,3,3,3
NM_000318.2,3,0,7,9,7,0,0,2,4,2
NM_000319.3,1,1,6,5,4,11,2,12,3,8
NM_000320.1,0,3,4,5,4,2,14,76,36,42
NM_000321.2,1,9,19,25,11,1,4,8,13,9
NM_000322.3,0,0,0,0,0,0,0,0,0,0
NM_000324.1,2,5,15,17,11,0,0,0,0,0
NM_000325.5,0,0,0,0,0,0,0,0,0,0
NM_000326.3,0,0,0,0,0,0,0,0,0,1
NM_000327.2,0,0,1,0,0,1,0,5,2,2
NM_000328.2,0,0,3,1,0,0,2,0,2,3
NM_000329.2,0,0,0,1,0,0,0,0,0,0
NM_000330.2,0,0,0,0,0,0,0,1,2,2
NM_000331.3,0,0,0,0,0,0,0,0,0,0
NM_000332.2,1,4,6,4,5,5,13,13,7,16
NM_000333.2,0,0,4,1,1,0,1,2,0,1
NM_000334.4,5,0,0,0,0,0,0,0,0,0
NM_000335.4,1,0,0,0,0,0,0,0,0,0
NM_000336.2,1,1,1,3,2,0,0,0,0,0
NM_000337.4,0,2,8,3,1,0,1,0,2,1
NM_000338.2,0,0,0,0,0,0,0,0,0,1
NM_000339.1,0,3,1,3,2,0,0,0,0,0
NM_000340.1,0,0,0,1,0,0,0,0,0,0
NM_000341.2,0,0,0,0,0,0,0,2,2,2
NM_000342.2,0,0,0,0,0,0,0,0,0,0
NM_000343.1,0,0,0,0,0,0,0,0,0,0
NM_000344.2,2,1,13,12,12,1,2,5,2,2
NM_000345.2,0,0,4,1,3,0,6,11,20,13
NM_000346.2,2,6,8,2,3,1,11,9,2,5
NM_000347.4,0,0,1,1,1,0,7,10,3,4
NM_000348.3,0,0,0,0,0,0,0,0,0,0
NM_000349.2,2,3,0,5,5,0,2,2,0,0
NM_000350.2,1,3,0,0,0,0,0,0,0,0
NM_000351.4,13,7,13,12,4,0,2,14,4,3
NM_000352.3,0,0,0,0,0,0,2,6,0,6
NM_000353.1,0,1,0,3,1,0,1,0,0,1
NM_000354.3,0,1,0,1,2,0,0,0,0,0
NM_000355.2,2,0,2,2,2,0,4,3,0,2
NM_000356.2,0,1,1,1,0,0,0,1,0,0
NM_000358.1,11,15,39,28,22,0,0,0,0,0
NM_000359.2,0,0,0,0,0,0,0,0,0,0
NM_000360.3,0,0,0,0,0,0,0,0,0,0
NM_000361.2,0,0,1,3,1,0,0,0,1,0
NM_000362.4,9,8,35,29,27,1,10,21,17,8
NM_000363.4,0,0,0,2,0,0,0,0,0,0
NM_000364.2,0,0,0,0,0,0,0,1,0,1
NM_000365.4,35,55,189,122,83,4,10,59,36,37
NM_000366.5,2,3,4,10,6,0,2,0,1,0
NM_000367.2,17,14,14,9,9,3,6,5,6,12
NM_000368.3,3,2,7,8,6,2,12,12,8,13
NM_000369.2,0,0,0,0,0,0,0,0,0,0
NM_000370.2,0,0,0,0,0,0,0,0,3,0
NM_000371.1,11,1,1,1,0,0,2,18,6,11
NM_000372.4,8,4,22,18,10,0,0,0,0,0
NM_000373.1,3,2,9,9,1,0,1,2,0,1
NM_000374.3,1,7,11,15,10,1,0,6,5,4
NM_000375.1,0,0,1,4,3,0,2,11,3,4
NM_000376.2,0,0,0,0,0,0,0,0,0,0
NM_000377.1,0,0,0,1,0,0,0,1,0,0
NM_000378.3,0,0,0,0,0,0,0,0,0,0
NM_000379.3,0,5,0,1,0,0,1,0,0,0
NM_000380.2,0,2,1,3,2,0,0,1,0,1
NM_000381.2,0,0,0,0,0,0,0,0,0,0
NM_000382.2,10,18,13,11,4,3,13,16,7,11
NM_000383.2,0,1,0,0,0,0,0,0,1,0
NM_000384.2,44,111,227,239,163,0,0,0,0,0
NM_000386.2,4,2,11,19,8,0,0,5,0,5
NM_000387.3,2,0,0,5,2,0,0,2,1,0
NM_000388.2,0,0,0,0,0,0,0,0,0,0
NM_000389.2,0,1,13,6,5,2,3,4,5,5
NM_000390.2,3,4,2,10,2,2,6,7,6,4
NM_000391.3,3,9,32,16,19,2,4,18,20,13
NM_000392.2,3,5,13,11,4,0,2,0,0,0
NM_000393.3,2,8,7,7,5,0,1,4,1,2
NM_000394.2,0,1,0,1,1,0,0,0,0,0
