RefSeq,JOA1,JOA2,JOA3,JOA4,JOA5,JOB1,JOB2,JOB3,JOB4,JOB5
NM_001018007.1,0,0,0,0,0,0,0,1,0,0
NM_001018008.1,1,1,3,1,0,0,1,6,5,5
NM_001018009.2,0,0,0,0,0,0,1,0,0,1
NM_001018011.1,0,0,0,0,0,0,5,2,4,2
NM_001018016.1,0,0,0,1,0,0,0,0,0,0
NM_001018017.1,0,0,0,0,0,0,0,0,0,0
NM_001018020.1,6,10,20,15,6,0,0,12,3,7
NM_001018024.1,0,0,2,2,1,0,0,0,0,1
NM_001018025.2,0,0,0,0,0,0,0,0,0,0
NM_001018036.1,0,0,0,0,0,0,0,0,0,0
NM_001018037.1,0,0,3,3,0,0,2,2,2,3
NM_001018038.1,3,5,3,9,1,2,13,8,1,4
NM_001018041.1,0,0,0,0,0,0,0,0,0,0
NM_001018046.1,0,0,0,0,0,0,0,0,0,0
NM_001018049.1,0,0,0,0,0,0,0,0,0,0
NM_001018050.1,0,0,0,0,0,0,0,0,0,0
NM_001018052.1,2,2,5,3,1,1,3,10,4,4
NM_001018053.1,0,0,1,2,1,0,3,1,2,2
NM_001018054.1,0,0,0,0,0,0,0,0,0,0
NM_001018055.1,0,0,0,0,0,0,0,0,1,0
NM_001018056.1,0,0,0,1,0,0,0,0,0,0
NM_001018057.1,0,0,0,0,0,0,0,0,0,0
NM_001018058.1,0,0,0,1,0,0,0,1,1,1
NM_001018059.2,2,0,3,0,0,0,0,0,0,0
NM_001018060.1,0,0,6,0,0,2,3,6,10,5
NM_001018064.1,0,0,0,0,0,13,22,19,7,15
NM_001018065.1,0,0,0,0,0,0,0,0,0,0
NM_001018066.1,0,0,0,0,0,1,2,6,4,3
NM_001018067.1,0,0,2,2,0,0,0,1,0,0
NM_001018068.1,2,3,9,3,5,0,0,4,0,1
NM_001018069.1,28,49,114,98,61,2,8,25,18,24
NM_001018070.1,4,2,20,10,9,0,0,5,3,3
NM_001018071.2,0,0,0,0,0,0,0,0,0,0
NM_001018072.1,0,0,0,0,0,0,0,1,0,0
NM_001018073.1,0,3,9,3,3,0,0,0,0,0
NM_001018074.1,0,0,0,0,0,0,0,0,0,0
NM_001018075.1,1,9,4,9,6,0,2,9,9,2
NM_001018076.1,0,0,1,0,0,0,0,0,0,0
NM_001018077.1,0,0,0,0,0,0,0,0,0,0
NM_001018078.1,4,1,4,11,8,0,0,3,1,2
NM_001018080.1,0,0,0,0,0,0,0,0,0,0
NM_001018081.1,0,0,0,0,0,0,0,0,0,0
NM_001018082.1,0,0,0,0,0,0,0,0,0,0
NM_001018088.1,0,2,0,0,0,0,3,0,0,0
NM_001018089.1,3,5,11,6,7,1,10,1,3,5
NM_001018090.1,0,0,0,0,0,0,0,0,0,0
NM_001018091.1,2,5,2,5,6,1,4,11,2,3
NM_001018100.1,0,0,0,0,0,0,0,0,0,1
NM_001018102.1,0,0,0,0,0,0,0,0,0,0
NM_001018103.1,0,0,0,0,0,0,0,1,0,0
NM_001018104.1,0,0,1,1,2,0,0,0,1,0
NM_001018108.2,9,10,59,47,30,0,6,24,8,14
NM_001018109.1,0,5,9,4,2,0,2,4,0,0
NM_001018111.2,8,23,28,37,24,5,4,7,3,8
NM_001018112.1,0,0,4,1,1,1,0,1,0,0
NM_001018113.1,0,0,1,0,0,0,0,0,0,0
NM_001018115.1,1,4,0,2,4,1,1,1,0,0
NM_001018116.1,0,0,1,0,0,0,0,0,0,0
NM_001018122.2,1,0,1,0,1,1,1,5,0,2
NM_001018136.1,8,15,49,62,34,1,6,17,9,10
NM_001018137.1,0,0,0,0,0,0,0,0,0,0
NM_001018138.1,0,0,4,1,2,0,0,1,1,0
NM_001018139.1,0,0,1,2,0,0,0,0,0,2
NM_001018159.1,0,0,0,0,0,0,0,0,0,0
NM_001018160.1,6,10,12,21,9,0,2,6,3,4
NM_001018161.1,0,0,0,0,0,0,0,0,0,0
NM_001018676.1,0,0,0,0,0,0,0,0,0,0
NM_001018677.1,3,1,10,8,3,0,2,8,11,5
NM_001018837.1,0,0,0,0,0,0,0,0,0,0
NM_001019.4,27,38,158,192,121,0,0,18,9,21
NM_001020.4,20,44,168,152,88,0,5,20,20,11
NM_001020658.1,0,0,0,0,0,0,0,3,0,0
NM_001020818.1,0,0,0,0,0,0,0,0,0,0
NM_001020819.1,0,0,0,0,0,0,0,0,0,0
NM_001020820.1,6,4,8,17,3,5,8,13,4,4
NM_001020821.1,0,0,0,0,0,0,0,0,0,0
NM_001020825.1,2,10,5,12,7,0,6,15,9,8
NM_001021.3,55,100,384,349,197,3,5,34,24,26
NM_001022.3,43,84,232,195,117,3,8,27,16,24
NM_001023.2,74,88,298,279,188,3,18,59,33,34
NM_001023560.1,0,0,0,0,0,0,0,0,0,0
NM_001023561.2,0,5,4,1,2,0,4,1,2,0
NM_001023564.2,0,0,0,0,0,0,0,0,0,0
NM_001023567.2,3,12,51,32,27,4,6,26,14,28
NM_001023570.1,0,3,2,10,1,0,1,3,3,0
NM_001023571.1,0,0,0,4,1,0,0,1,0,0
NM_001023587.1,0,0,2,2,3,0,4,5,2,2
NM_001024.3,30,67,193,212,108,2,7,44,33,41
NM_001024024.1,0,0,1,0,0,0,0,0,0,0
NM_001024070.1,0,0,0,0,0,0,0,0,0,0
NM_001024071.1,0,1,6,3,2,0,0,1,0,1
NM_001024074.1,0,1,4,1,2,0,2,0,0,0
NM_001024075.1,0,0,0,0,0,0,0,0,0,0
NM_001024094.1,0,0,0,0,0,0,0,0,0,0
NM_001024209.2,0,1,0,0,1,0,0,0,0,0
NM_001024210.1,0,0,0,0,0,0,0,0,0,0
NM_001024211.1,0,0,7,12,4,0,1,1,2,3
NM_001024212.1,0,0,0,0,0,0,0,0,0,0
NM_001024213.1,0,0,0,0,0,0,0,0,0,0
NM_001024215.1,11,25,12,6,0,1,6,3,2,3
NM_001024216.1,42,86,25,17,12,14,33,13,6,9
NM_001024218.1,2,2,3,5,0,0,2,10,6,4
NM_001024226.1,0,0,0,0,0,0,0,0,0,0
NM_001024227.1,13,19,68,56,32,4,16,47,28,33
NM_001024228.1,0,0,0,0,0,0,0,0,0,0
NM_001024372.1,0,1,2,0,0,1,11,33,27,31
NM_001024380.1,0,0,0,0,0,0,0,0,0,0
NM_001024381.1,0,0,0,0,0,0,0,0,0,0
NM_001024382.1,0,1,1,0,0,0,0,0,0,0
NM_001024401.2,7,4,1,6,1,1,6,18,5,6
NM_001024455.2,0,0,1,1,0,0,6,10,5,6
NM_001024457.1,1,3,2,1,0,0,4,0,1,1
NM_001024460.1,0,0,0,0,0,0,0,0,0,0
NM_001024463.2,0,2,1,2,2,11,4,14,4,9
NM_001024465.1,2,3,9,5,3,1,4,14,11,9
NM_001024466.1,0,0,0,0,0,0,0,0,0,0
NM_001024593.1,0,0,0,0,0,0,1,1,0,0
NM_001024594.1,0,0,0,1,1,0,0,0,0,0
NM_001024596.1,2,1,1,1,1,1,4,1,3,0
NM_001024598.2,0,0,0,0,0,0,0,0,0,0
NM_001024599.2,0,4,0,1,0,0,1,0,0,0
NM_001024601.2,0,0,0,0,0,0,0,0,0,0
NM_001024607.1,0,0,0,0,0,0,0,0,0,0
NM_001024611.1,0,0,0,1,0,0,0,0,0,0
NM_001024613.1,0,0,0,0,0,0,0,0,0,0
NM_001024628.1,0,0,0,0,0,0,0,0,0,0
NM_001024629.1,1,0,1,0,0,0,2,0,1,0
NM_001024630.2,0,0,2,1,0,0,0,0,0,0
NM_001024644.1,0,0,0,0,0,0,0,0,0,0
NM_001024647.2,0,0,1,0,0,0,0,0,0,0
NM_001024649.1,0,0,2,1,1,0,3,1,1,3
NM_001024656.1,0,0,0,0,0,0,1,2,1,3
NM_001024660.2,0,0,0,0,0,0,0,0,0,0
NM_001024662.1,40,70,231,188,117,6,10,60,37,42
NM_001024666.1,0,0,0,1,0,0,0,0,0,0
NM_001024668.1,0,0,0,0,0,0,0,0,0,0
NM_001024674.1,0,0,0,2,0,0,0,1,1,1
NM_001024675.1,0,0,0,0,0,0,0,0,0,0
NM_001024678.2,0,0,0,0,1,0,0,2,1,0
NM_001024680.1,2,4,2,0,0,0,3,2,0,0
NM_001024682.1,2,0,3,3,3,2,6,8,4,9
NM_001024683.1,0,4,2,3,1,0,0,0,2,0
NM_001024688.1,0,0,0,0,0,0,0,0,0,0
NM_001024732.1,3,7,7,4,1,2,3,1,1,4
NM_001024736.1,0,2,4,0,0,0,0,0,0,0
NM_001024807.1,0,0,6,2,0,6,23,99,76,80
NM_001024808.1,0,3,7,2,1,2,3,6,4,3
NM_001024809.2,0,0,0,0,0,0,0,0,0,0
NM_001024822.1,0,0,0,0,0,0,0,0,0,0
NM_001024843.1,1,1,0,0,0,0,2,1,0,0
NM_001024844.1,13,21,12,5,2,1,8,10,3,2
NM_001024845.1,0,0,4,1,0,0,3,6,1,3
NM_001024847.2,0,4,19,8,10,0,2,4,3,6
NM_001024855.1,0,0,1,0,1,0,0,2,0,1
NM_001024858.1,1,2,0,0,0,2,8,13,8,6
NM_001024912.1,2,1,4,6,1,0,0,0,0,0
NM_001024916.2,1,1,1,0,1,0,0,0,1,0
NM_001024921.2,22,50,195,194,105,2,13,89,44,48
NM_001024924.1,0,0,0,0,0,0,0,0,0,0
NM_001024934.1,0,0,0,0,0,0,0,0,0,0
NM_001024935.1,0,0,0,0,0,0,0,0,1,0
NM_001024936.1,0,2,4,2,2,3,4,35,21,27
NM_001024937.2,0,0,0,0,0,0,0,0,0,0
NM_001024938.1,0,0,3,1,0,1,0,1,0,1
NM_001024939.1,0,0,0,0,0,0,0,0,0,1
NM_001024940.1,0,0,0,0,0,0,0,0,0,0
NM_001024941.1,0,0,0,0,0,0,0,0,0,0
NM_001024943.1,0,0,2,0,1,0,0,0,0,0
NM_001024944.1,1,1,1,4,6,0,0,1,1,1
NM_001024946.1,0,0,0,0,0,0,0,0,0,0
NM_001024947.1,3,4,11,14,10,0,1,9,1,3
NM_001024948.1,3,3,22,6,7,1,1,0,4,5
NM_001024956.2,0,0,1,0,0,0,0,0,0,1
NM_001024957.1,0,0,9,1,0,0,0,1,0,2
NM_001024959.1,1,7,16,14,10,2,2,9,10,4
NM_001024960.1,0,0,0,0,0,0,0,0,1,0
NM_001025.4,78,105,347,325,190,3,20,66,44,49
NM_001025068.1,0,0,0,0,0,0,0,0,1,0
NM_001025069.1,0,0,0,0,0,0,0,1,0,0
NM_001025070.1,12,23,87,110,72,2,2,22,18,14
NM_001025071.1,0,1,1,2,0,0,0,0,0,0
NM_001025072.2,2,3,5,11,6,0,1,6,4,4
NM_001025073.2,0,0,1,2,0,0,0,0,0,0
NM_001025076.2,0,2,5,7,2,5,24,38,26,24
NM_001025077.2,0,0,1,0,0,0,7,5,2,2
NM_001025079.1,0,1,0,0,0,0,1,2,1,1
NM_001025081.1,0,0,0,0,0,0,0,2,0,1
NM_001025090.1,2,0,2,1,1,74,239,950,638,698
NM_001025091.1,6,16,30,24,14,1,0,2,4,7
NM_001025092.1,0,0,0,0,0,8,15,25,23,30
NM_001025096.1,0,0,0,0,0,0,0,0,0,0
NM_001025097.1,0,0,0,0,0,0,0,0,0,0
NM_001025100.1,1,0,4,1,1,3,8,5,6,2
NM_001025101.1,1,0,0,0,0,0,0,1,0,0
NM_001025104.1,0,0,0,0,0,0,0,0,0,0
NM_001025105.1,16,14,20,15,9,6,13,7,10,9
NM_001025107.1,0,0,0,0,0,0,0,0,1,0
NM_001025108.1,3,6,1,2,1,5,10,15,13,9
NM_001025109.1,0,0,0,0,0,0,0,0,0,0
NM_001025158.1,0,0,0,1,0,0,0,0,0,1
NM_001025159.1,0,4,8,7,4,1,5,20,7,12
NM_001025160.1,0,0,0,0,0,0,0,0,0,0
NM_001025161.1,0,0,0,1,0,0,1,0,0,0
NM_001025190.1,2,0,0,0,0,0,0,0,0,0
NM_001025194.1,0,2,0,0,0,0,0,0,0,0
NM_001025195.1,0,0,0,0,0,0,0,0,0,0
NM_001025197.1,0,0,0,0,0,0,0,0,0,0
NM_001025199.1,0,1,1,3,1,0,1,0,0,0
NM_001025200.3,0,0,1,0,0,0,0,0,0,0
NM_001025201.1,1,1,7,2,0,7,36,111,67,89
NM_001025202.2,9,11,5,4,2,2,1,3,3,3
NM_001025203.1,2,12,22,25,14,1,2,7,5,6
NM_001025204.1,0,2,0,2,0,0,0,1,0,0
NM_001025205.1,0,0,0,0,2,0,0,0,0,0
NM_001025231.1,0,0,0,0,0,0,0,0,0,0
NM_001025232.1,0,0,0,0,0,0,0,0,0,0
NM_001025233.1,0,0,0,0,0,0,0,0,0,0
NM_001025234.1,0,0,1,1,1,0,0,0,0,0
NM_001025235.1,4,1,3,8,6,0,1,4,6,0
NM_001025236.1,0,0,0,0,0,0,0,0,0,0
NM_001025237.1,0,0,0,0,0,0,0,0,0,0
NM_001025238.1,0,0,0,0,0,0,0,0,0,0
NM_001025239.1,1,0,0,0,0,0,0,0,0,0
NM_001025242.1,0,0,0,0,0,0,1,0,0,0
NM_001025243.1,0,0,0,0,0,0,0,0,0,0
NM_001025247.1,2,0,2,5,5,0,0,2,0,0
NM_001025248.1,9,7,42,41,15,0,0,6,11,8
NM_001025249.1,0,2,0,0,0,0,0,0,0,0
NM_001025252.1,1,3,22,20,18,3,12,32,19,22
NM_001025253.1,0,0,0,2,1,0,1,2,7,5
NM_001025265.1,0,0,0,1,1,0,0,0,0,0
NM_001025266.1,0,1,0,0,0,1,4,4,1,9
NM_001025290.1,0,0,0,0,0,0,0,0,0,0
NM_001025295.1,0,0,0,0,0,0,0,0,0,0
NM_001025300.2,0,0,5,4,7,1,2,9,6,6
NM_001025356.1,5,11,16,26,8,0,0,5,2,4
NM_001025357.1,1,0,0,0,1,1,0,0,0,0
NM_001025366.1,0,0,0,0,0,0,0,0,0,0
NM_001025367.1,5,17,39,42,29,0,4,7,2,3
NM_001025368.1,0,0,0,0,0,0,0,0,0,0
NM_001025369.1,0,0,2,0,0,1,0,0,0,1
NM_001025370.1,0,1,0,0,1,0,0,0,0,0
NM_001025389.1,0,0,0,0,0,0,0,0,0,0
NM_001025390.1,0,0,0,0,0,0,0,0,0,0
NM_001025433.1,0,0,0,0,0,0,0,0,0,0
NM_001025434.1,0,0,2,0,0,0,0,0,0,0
NM_001025436.1,1,1,3,5,2,1,0,2,3,5
NM_001025459.2,0,0,0,1,0,0,0,0,0,0
NM_001025579.1,0,0,0,0,0,0,0,0,0,0
NM_001025580.1,0,0,0,0,0,0,0,0,0,0
NM_001025591.2,0,0,0,0,0,0,0,0,0,0
NM_001025593.1,0,0,0,0,0,0,0,0,0,0
NM_001025595.1,0,0,1,0,0,0,0,1,0,0
NM_001025596.1,4,1,12,2,0,2,3,8,2,4
NM_001025598.1,1,0,3,1,2,0,0,2,0,0
NM_001025603.1,1,5,16,9,6,0,3,2,2,2
NM_001025604.1,0,0,0,0,0,0,0,0,0,0
NM_001025616.2,0,0,0,0,0,0,0,0,0,0
NM_001025777.1,0,0,0,0,0,0,0,0,0,0
NM_001025778.1,0,0,4,4,3,0,2,0,2,3
NM_001025780.1,2,1,1,6,2,0,2,0,5,5
NM_001025930.2,0,1,0,1,0,0,0,0,2,0
NM_001026.3,3,15,71,85,37,0,0,0,0,0
NM_001026213.1,0,0,0,0,0,0,0,0,0,0
NM_001026383.1,0,0,0,0,0,1,1,1,0,0
NM_001028.2,40,66,282,236,133,1,17,58,34,44
NM_001029.3,3,7,9,18,13,0,0,3,4,4
NM_001029835.1,1,4,9,2,3,1,2,13,9,9
NM_001029839.2,0,0,0,0,0,0,0,0,0,0
NM_001029840.2,0,0,9,1,2,0,0,2,1,1
NM_001029851.1,0,1,3,2,0,0,2,10,6,7
NM_001029852.1,0,0,0,0,0,0,0,0,0,0
NM_001029853.1,0,0,0,0,0,0,0,0,0,0
NM_001029854.1,0,0,0,0,0,0,0,0,0,0
NM_001029858.2,6,4,3,0,4,3,4,8,5,9
NM_001029859.1,0,0,1,4,1,0,3,3,0,2
NM_001029860.2,0,0,3,3,1,0,0,0,0,0
NM_001029861.2,0,0,0,0,0,0,0,0,0,0
NM_001029863.1,0,10,14,8,6,1,9,12,10,3
NM_001029864.1,0,1,0,0,0,1,5,6,5,2
NM_001029865.1,0,0,0,0,0,0,0,0,0,0
NM_001029866.1,0,0,0,0,0,0,0,0,0,0
NM_001029869.1,0,1,0,0,0,0,0,0,0,1
NM_001029870.1,0,0,0,0,0,0,0,3,2,1
NM_001029871.2,0,0,0,0,0,0,0,0,0,0
NM_001029874.1,0,0,1,0,0,0,0,0,0,0
NM_001029875.1,0,0,0,0,0,2,8,13,8,8
NM_001029880.1,4,6,6,4,3,1,2,0,1,0
NM_001029881.1,0,0,0,0,0,0,0,0,0,0
NM_001029882.2,1,1,3,5,6,0,10,9,6,7
NM_001029883.1,1,0,0,0,0,0,0,0,0,1
NM_001029884.1,0,0,1,0,1,0,1,2,2,0
NM_001029885.1,0,1,1,2,3,0,0,3,2,1
NM_001029886.1,0,0,0,0,0,0,0,0,0,0
NM_001029887.1,0,0,0,0,0,0,0,0,0,0
NM_001029888.1,0,0,0,0,0,0,0,0,0,0
NM_001029891.2,0,7,1,0,2,0,0,2,0,0
NM_001029896.1,0,1,0,0,0,0,0,0,0,0
NM_001029939.1,0,0,0,0,0,0,0,0,0,0
NM_001029954.2,0,0,1,0,1,0,0,0,0,0
NM_001029955.3,0,0,1,0,0,0,0,0,0,0
NM_001029964.2,0,0,0,0,0,0,0,0,0,0
NM_001029976.2,0,0,0,0,0,0,0,0,0,0
NM_001029989.1,9,10,18,27,12,0,3,3,0,1
NM_001029991.1,0,0,0,1,1,0,0,0,0,0
NM_001029996.2,0,0,0,0,0,0,0,2,0,0
NM_001029997.2,0,0,1,3,1,2,2,4,0,4
NM_001029998.2,0,0,0,2,2,0,1,2,2,1
NM_001029999.2,0,1,0,0,0,0,1,0,0,0
NM_001030.3,23,42,150,126,89,1,3,25,13,25
NM_001030001.1,0,0,1,0,0,0,0,1,0,1
NM_001030002.1,0,0,0,0,0,0,0,0,0,0
NM_001030003.1,0,0,0,0,0,0,0,0,0,0
NM_001030004.1,0,0,0,0,0,0,0,0,0,0
NM_001030005.2,0,0,0,0,0,1,4,6,0,1
NM_001030006.1,0,0,0,0,0,0,0,4,0,0
NM_001030007.1,4,6,22,17,13,0,7,15,7,9
NM_001030009.1,13,24,109,89,43,1,1,15,5,8
NM_001030010.1,0,0,0,0,0,0,0,0,0,0
NM_001030013.1,0,0,0,0,0,0,0,0,0,0
NM_001030015.2,0,0,0,0,0,0,0,0,0,0
NM_001030018.1,0,0,1,0,0,0,0,1,1,0
NM_001030019.1,0,1,0,0,0,0,0,0,0,0
NM_001030047.1,0,0,0,1,0,0,0,0,0,0
NM_001030048.1,0,0,0,0,0,0,0,0,0,0
NM_001030049.1,0,0,0,0,0,0,0,0,0,0
NM_001030050.1,0,0,0,0,0,0,0,0,0,0
NM_001030051.1,0,0,0,0,0,0,0,0,0,0
NM_001030055.1,0,0,1,0,2,0,4,1,2,0
NM_001030059.1,0,0,0,0,1,0,2,1,0,1
NM_001030060.1,8,2,1,1,1,0,2,1,1,2
NM_001030272.1,0,0,0,2,0,0,0,5,2,7
NM_001030273.1,0,0,0,0,0,0,0,0,0,0
NM_001030287.2,0,0,2,0,1,0,0,0,0,0
NM_001030288.1,9,17,5,8,1,1,7,4,1,2
NM_001030311.1,0,0,0,0,0,0,0,2,0,1
NM_001030312.1,0,0,0,0,0,0,0,0,0,0
NM_001030313.1,0,0,0,0,0,0,0,0,0,0
NM_001031.4,4,6,19,26,15,0,0,7,3,7
NM_001031615.1,0,0,0,0,0,0,0,0,0,0
NM_001031617.2,1,6,5,3,1,0,2,5,1,1
NM_001031618.1,0,0,0,0,1,0,0,0,0,0
NM_001031623.2,0,4,13,9,9,0,5,4,7,8
NM_001031628.1,0,0,0,0,0,0,0,0,0,0
NM_001031665.1,1,0,1,1,0,0,4,1,0,2
NM_001031666.1,0,0,0,0,0,0,0,0,0,0
NM_001031672.2,1,7,1,3,1,0,0,0,0,0
NM_001031677.2,1,1,11,5,1,0,1,7,5,3
NM_001031679.1,0,1,0,1,0,0,0,0,0,0
NM_001031680.2,1,2,5,3,0,0,0,0,0,0
NM_001031681.2,0,1,0,0,0,0,0,0,0,0
NM_001031683.1,0,1,1,0,0,0,2,3,2,1
NM_001031684.1,8,11,46,38,13,2,7,18,7,11
NM_001031685.2,2,1,7,12,7,3,2,6,8,15
NM_001031689.1,0,2,7,6,3,0,1,3,1,2
NM_001031690.1,0,0,0,0,0,0,9,14,6,10
NM_001031692.1,0,0,0,1,0,0,0,0,0,0
NM_001031693.2,3,0,2,3,2,0,0,3,0,3
NM_001031694.1,1,4,3,5,0,3,0,2,4,2
NM_001031695.2,0,0,0,0,0,0,0,0,0,0
NM_001031696.1,6,11,25,26,13,4,12,60,20,26
NM_001031698.1,0,3,1,0,1,0,0,5,2,4
NM_001031700.1,0,0,0,0,0,0,0,3,2,0
NM_001031701.1,1,0,0,0,0,1,0,0,0,0
NM_001031702.2,0,0,0,0,0,1,0,2,0,0
NM_001031703.2,1,2,3,10,6,0,0,6,0,3
NM_001031705.1,0,0,0,0,1,0,0,0,0,0
NM_001031706.1,0,0,10,2,0,0,3,4,1,1
NM_001031709.1,0,0,0,0,0,0,0,0,0,0
NM_001031710.1,0,0,1,1,0,1,0,1,1,0
NM_001031711.1,1,5,32,25,19,0,1,8,4,7
NM_001031712.2,0,3,3,5,1,0,2,4,3,3
NM_001031713.2,0,2,8,5,5,0,0,1,0,1
NM_001031714.3,3,3,6,10,7,3,4,9,8,11
NM_001031715.1,0,0,0,0,0,0,0,0,0,0
NM_001031716.1,2,1,3,2,0,0,0,0,0,0
NM_001031717.2,0,0,4,4,3,0,1,11,5,3
NM_001031719.1,0,0,1,0,1,0,0,1,1,0
NM_001031720.2,0,1,3,0,0,0,0,1,0,1
NM_001031721.2,0,0,0,0,0,0,2,0,0,0
NM_001031722.1,0,0,4,1,1,0,0,1,0,2
NM_001031723.1,0,1,0,0,0,0,5,2,2,2
NM_001031725.3,1,1,0,3,0,0,0,2,2,0
NM_001031726.2,2,4,11,3,6,0,2,6,6,13
NM_001031727.2,5,13,7,8,4,1,3,7,4,2
NM_001031730.1,0,0,1,0,0,0,0,1,0,0
NM_001031732.2,1,5,8,15,12,4,3,8,16,10
NM_001031733.2,1,5,5,4,2,0,0,5,5,2
NM_001031734.2,0,3,2,1,2,1,0,3,2,0
NM_001031735.2,0,0,0,0,0,0,0,0,0,0
NM_001031737.1,0,0,3,4,5,0,1,1,1,3
NM_001031738.1,0,1,0,1,0,0,0,1,0,0
NM_001031739.1,0,0,4,2,0,0,0,0,0,0
NM_001031740.1,0,3,5,0,3,0,0,2,2,1
NM_001031741.1,0,0,0,0,0,0,1,1,0,0
NM_001031743.1,0,0,0,0,0,0,0,0,1,0
NM_001031745.1,0,0,3,0,3,0,2,2,1,1
NM_001031746.2,4,0,1,1,1,0,0,0,1,0
NM_001031748.2,0,0,0,0,0,0,0,0,0,1
NM_001031749.1,0,0,0,0,0,0,2,0,0,1
NM_001031800.1,0,0,0,0,0,0,0,0,0,0
NM_001031801.1,0,0,0,0,0,0,0,0,0,0
NM_001031803.1,4,6,18,5,4,0,1,0,1,4
NM_001031804.1,4,6,16,18,10,2,2,6,5,5
NM_001031806.1,0,0,0,0,0,0,0,1,0,0
NM_001031807.1,0,0,0,0,0,0,0,1,0,0
NM_001031809.1,0,0,0,0,0,0,0,0,0,0
NM_001031812.2,4,4,9,8,4,0,4,6,3,5
NM_001031827.1,1,1,14,16,12,0,1,1,0,1
NM_001031834.1,0,0,0,0,0,0,0,0,0,0
NM_001031835.1,0,2,4,4,2,0,2,4,2,3
NM_001031847.1,1,2,1,0,0,1,3,1,0,0
NM_001031848.1,1,0,19,19,15,0,1,26,14,7
NM_001031849.1,0,1,1,2,0,1,0,0,1,0
NM_001031850.2,0,0,0,0,0,0,0,0,0,0
NM_001031853.3,0,0,0,0,0,0,0,0,0,0
NM_001031854.2,0,0,0,0,0,0,0,0,0,0
NM_001031855.1,0,1,0,0,0,0,0,3,1,0
NM_001032.3,27,23,83,114,51,3,6,20,13,13
NM_001032221.1,2,0,4,0,1,1,3,9,4,5
NM_001032278.1,0,0,0,0,0,0,0,0,1,0
NM_001032279.1,0,1,5,2,1,0,1,1,2,1
NM_001032280.2,0,1,0,1,0,0,0,0,0,0
NM_001032281.2,0,1,0,0,1,0,0,0,0,0
NM_001032282.1,2,0,4,2,0,0,0,1,0,0
NM_001032283.1,1,1,1,0,0,0,0,0,0,0
NM_001032284.1,2,9,14,11,2,2,1,0,1,2
NM_001032287.1,0,0,0,1,1,0,0,0,1,0
NM_001032288.1,1,1,1,3,3,0,0,0,1,2
NM_001032289.1,1,2,3,3,3,0,1,0,0,1
NM_001032290.1,0,4,7,6,9,0,2,6,4,1
NM_001032291.1,0,0,0,0,0,0,0,0,0,0
NM_001032292.1,0,0,0,0,0,0,0,1,0,0
NM_001032293.2,4,16,26,26,16,0,7,9,7,1
NM_001032295.1,1,2,4,1,0,1,2,9,3,4
NM_001032296.2,0,0,0,0,1,0,0,0,0,0
NM_001032297.1,0,0,1,1,0,0,0,2,0,0
NM_001032363.1,6,9,27,22,15,2,10,9,8,9
NM_001032364.1,1,0,4,5,4,0,0,1,0,1
NM_001032365.1,0,0,0,1,0,0,0,1,0,0
NM_001032367.1,0,1,0,0,0,0,0,0,0,0
NM_001032372.1,0,1,0,2,1,0,4,1,2,0
NM_001032373.1,0,0,0,0,0,0,0,0,0,0
NM_001032374.1,0,0,1,1,1,0,0,1,1,1
NM_001032375.1,0,0,0,0,0,0,0,0,0,0
NM_001032377.1,0,0,0,0,0,0,0,0,0,0
NM_001032380.1,0,0,0,0,0,0,0,0,0,0
NM_001032381.1,0,1,2,2,1,0,0,1,0,0
NM_001032382.1,0,0,0,0,1,0,0,1,0,0
NM_001032383.1,3,3,8,2,4,1,1,7,1,3
NM_001032384.1,0,0,0,0,0,0,0,0,0,0
NM_001032386.1,0,0,0,0,0,0,0,0,0,0
NM_001032387.1,0,0,0,0,0,0,0,0,0,0
NM_001032391.1,0,0,0,0,0,0,0,0,0,1
NM_001032392.2,0,3,0,0,0,0,4,0,1,1
NM_001032393.1,3,9,10,14,14,3,9,17,8,12
NM_001032394.1,0,0,0,0,0,0,0,0,0,0
NM_001032395.1,0,0,0,0,0,0,0,0,0,0
NM_001032396.1,0,1,0,0,0,0,0,0,0,1
NM_001032409.1,0,1,3,1,0,0,0,0,0,0
NM_001032410.1,0,0,1,0,0,0,0,1,1,0
NM_001032726.1,0,0,0,0,0,0,1,0,0,0
NM_001032730.1,0,0,2,2,0,0,1,1,0,3
NM_001032731.1,0,0,2,1,1,0,1,2,0,0
NM_001032998.1,1,2,5,3,2,0,1,0,0,0
NM_001032999.2,0,0,0,0,0,0,0,1,0,0
NM_001033.2,6,18,23,39,22,0,4,2,8,5
NM_001033002.2,2,5,5,8,6,0,1,6,5,6
NM_001033017.2,0,0,0,0,0,0,0,0,0,0
NM_001033018.2,0,0,0,0,0,0,0,0,0,0
NM_001033019.1,0,0,0,0,0,0,0,0,0,0
NM_001033024.1,4,5,12,14,11,2,2,8,9,11
NM_001033025.1,0,0,0,1,0,0,1,0,1,0
NM_001033026.1,6,8,25,24,8,1,6,30,7,14
NM_001033028.1,0,0,0,0,0,0,1,0,0,0
NM_001033030.1,1,1,0,1,0,0,0,1,0,1
NM_001033031.1,0,0,1,0,1,0,0,1,0,1
NM_001033032.1,0,0,0,0,0,0,0,0,0,0
NM_001033044.1,1,0,6,3,3,1,7,7,7,10
NM_001033045.2,0,2,0,0,0,0,0,0,1,0
NM_001033046.1,4,10,7,7,2,2,3,5,4,4
